ser,cat
1299,Decorative High-Pressure Laminates / HPL
1300,Fibreboards
1301,Finger Jointed Boards
1302,Flakeboards
1303,Laminated Wood Boards / Blockboar ds
1304,Melamine Boards
1305,Other Timber
1306,Plywoods
1307,Solid Wood Boards
1308,Veneers
1309,Tombstones and Monuments
1310,Wallpapers
1311,Waterproofing Materials
1312,Other Waterproofing Materials
1313,Roofing Felts
1314,Waterproof Membrane
1317,Consumer Electronics
1318,Accessories & Parts
1319,Blank Records & Tapes
1320,Cables
1321,Card Readers
1322,Chargers
1323,Digital Batteries
1324,Earphones & Headphones
1325,Memory Cards
1326,Microphones
1327,Other Accessories & Parts
1328,Remote Control
1329,Screen Cleaners
1330,Screen Protectors
1331,Speakers
1332,TV Mounts
1333,Video Glasses
1334,Cameras & Accessories
1335,Backgrounds
1336,Camera Filters
1337,Camera Lens Hoods
1338,Camera Lenses
1339,Camera Lights
1340,Digital Cameras
1341,Digital Photo Banks
1342,Digital Photo Frames
1343,Film Cameras
1344,Films
1345,Other Camera Accessories
1346,Tripods
1347,Video Cameras
1348,Electronic Publications
1349,Electronic Books
1350,Movie
1351,Music
1352,TV Series
1353,Gaming & Accessories
1354,3D Glasses
1355,Dance Pads
1356,Fire Cards
1357,Game Softwares
1358,Handheld Game Players
1359,Joysticks & Game Controllers
1360,Light Guns
1361,Other Game Accessories
1362,Video Game Consoles
1363,Home Audio & Video Equipments
1364,Amplifiers
1365,Baby Monitors
1366,Blu-ray Players
1367,Cassette Recorders & Players
1368,Digital Voice Recorders
1369,"DVD, VCD Players"
1370,HDD Players
1371,Home Theatre System
1372,Karaoke Players
1373,Other Audio & Video Equipments
1374,Radio
1375,Televisions
1376,Mobile Phones
1377,Other Consumer Electronics
1378,Portable Media
1379,CD Players
1380,MP3 Players
1381,MP4 Players
1382,Quran Players
1385,Electrical Equipment & Su pplies
1386,Batteries
1387,Battery Packs
1388,Button Cell Batteries
1389,Fuel Cells
1390,Mobile Phone Batteries
1391,Other Batteries
1392,Primary & Dry Batteries
1393,Rechargeable Batteries
1394,"Solar Cells, Solar Panel"
1395,Storage Batteries
1396,Circuit Breakers
1397,Connectors & Terminals
1398,Alligator Clips
1399,Connectors
1400,Other Connectors & Terminals
1401,Terminal Blocks
1402,Terminals
1403,Contactors
1404,Electrical Plugs & Sockets
1405,Electronic & Instrument Enclosures
1406,Fuse Components
1407,Fuses
1408,Generators
1409,Alternative Energy Generators
1410,Diesel Generators
1411,Gas Turbine Generators
1412,Gasoline Generators
1413,Generator Parts & Accessories
1414,Other Generators
1415,Other Electrical Equipment
1416,Power Accessories
1417,Power Distribution Equipment
1418,Power Supplies
1419,AC/DC Adapters
1420,Inductors
1421,Industrial Power Supply
1422,Inverters & Converters
1423,Laptop Adapter
1424,Other Power Supplies
1425,Switching Power Supply
1426,Uninterrupted Power Supply (UPS
1427,Voltage Regulators/Stabilizers
1428,"Professional Audio, Video & Lighting"
1429,Relays
1430,Switches
1431,DIP Switches
1432,Flow Switches
1433,Limit Switches
1434,Other Switches
1435,Pressure Switches
1436,Push Button Switches
1437,Remote Control Switches
1438,Rocker Switches
1439,Rotary Switches
1440,Slide Switches
1441,Time Switches
1442,Toggle Switches
1443,Wall Switches
1444,Transformers
1445,"Wires, Cables & Cable Assemblies"
1446,Audio & Video Cables
1447,Cable Manufacturing Equipment
1448,Control Cables
1449,Electrical Wires
1450,Instrumentation Cables
1451,"Other Wires, Cables & Cable Assemb lies"
1452,Power Cables
1453,Power Cords & Extension Cords
1454,Wiring Harness
1455,Wiring Accessories
1456,Cable Clips
1457,Cable Conduits
1458,Cable End Caps
1459,Cable Glands
1460,Cable Sleeves
1461,Cable Ties
1462,Cable Trays
1463,Other Wiring Accessories
1464,Tie Mounts
1465,Wiring Ducts
1468,Electronic Components & Supplies
1469,Active Components
1470,Diodes
1471,Filters
1472,Integrated Circuits
1473,Oscillators
1474,Other Active Components
1475,Rectifiers
1476,Resonators
1477,Sensors
1478,Thyristors
1479,Transistors
1480,EL Products
1481,Electronic Accessories & Supplies
1482,Electrical Ceramics
1483,Electrical Contacts and Contact Mate rials
1484,Insulation Materials & Elements
1485,Keypads & Keyboards
1486,Other Electronic Accessories
1487,Semiconductors
1488,Electronic Data Systems
1489,Electronic Signs
1490,Electronics Production Machinery
1491,Electronics Stocks
1492,Optoelectronic Displays
1493,LCD Modules
1494,LED Displays
1495,Other Optoelectronic Displays
1496,Other Electronic Components
1497,Passive Components
1498,Acoustic Components
1499,Capacitors
1500,Other Passive Components
1501,PCB & PCBA
1502,Double-Sided PCB
1503,FPC
1504,Multilayer PCB
1505,Other PCB & PCBA
1506,Rigid PCB
1507,Single-Sided PCB
1508,Potentiometers
1509,Resistors
1512,Energy
1513,Biodiesel
1514,Biogas
1515,Charcoal
1516,Coal
1517,Coal Gas
1518,Coke Fuel
1519,Crude Oil
1520,Electricity Generation
1521,Industrial Fuel
1522,Diesel Fuel
1523,Gasoline
1524,Jet Fuel
1525,Kerosene
1526,Other Industrial Fuel
1527,Natural Gas
1528,Other Energy Related Products
1529,Petrochemical Products
1530,Bitumen
1531,Lubricant
1532,Mazut
1533,Other Petrochemical Related Product s
1534,Paraffin
1535,Petroleum Gas
1536,Vaseline
1537,Solar Energy Products
1538,Other Solar Energy Related Products
1539,Solar Chargers
1540,Solar Collectors
1541,Solar Controllers
1542,Solar Energy Systems
1543,Wood Pellets
1546,Environment
1547,Gas Disposal
1548,Noise Reduction Device
1549,Other Environmental Products
1550,Other Excess Inventory
1551,Recycling
1552,Chemical Waste
1553,Other Recycling Products
1554,Textile Waste
1555,Waste Paper
1556,Sewer
1557,Waste Management
1558,Water Treatment
1561,Excess Inventory
1563,Home Appliances Stocks
1564,Measuring & Analysing Instrument Stoc ks
1567,Fashion Accessories
1568,Belt Accessories
1569,Belt Buckles
1570,Belt Chains
1571,Other Belt Accessories
1572,Belts
1573,Beaded Belts
1574,Chain Belts
1575,Fabric Belts
1576,Genuine Leather Belts
1577,Knitted Belts
1578,Metal Belts
1579,Other Belts
1580,Plastic Belts
1581,PU Belts
1582,PVC Belts
1583,Shell Belts
1584,Suspenders
1585,Fashion Accessories Design Services
1586,Fashion Accessories Processing Service s
1587,Fashion Accessories Stock
1588,Gloves & Mittens
1589,Acrylic Gloves & Mittens
1590,Cashmere Gloves & Mittens
1591,Cotton Gloves & Mittens
1592,Feather Gloves & Mittens
1593,Hand Muffs
1594,Leather Gloves & Mittens
1595,Nylon Gloves & Mittens
1596,Other Gloves & Mittens
1597,Woolen Gloves & Mittens
1598,Headwear
1599,Ear Muffs
1600,Hair Accessories
1601,Bandanas
1602,Barrettes
1603,Elastic Hair Bands
1604,Hair Claws
1605,Hair Combs
1606,Hair Forks
1607,Hair Ribbons
1608,Hair Sticks
1609,Hairbands
1610,Hairgrips
1611,Hairpins
1612,Other Hair Accessories
1613,Tiaras
1614,Hats & Caps
1615,Baby Hats & Caps
1616,Berets
1617,Bucket Hats
1618,Camouflage Caps
1619,Children Hats & Caps
1620,Cowboy Hats
1621,Other Hats & Caps
1622,Party Hats
1623,Sports Caps
1624,Visors
1625,Winter Hats
1626,Other Headwear
1627,Neckwear
1628,Scarves & Shawls
1629,Fur Scarves
1630,Fur Shawls
1631,Knitted Scarves
1632,Knitted Shawls
1633,Other Scarves & Shawls
1634,Silk Scarves
1635,Silk Shawls
1636,Ties & Accessories
1637,Bow Ties
1638,Cravats
1639,Other Ties & Accessories
1640,Polyester Ties
1641,Silk Ties
1642,"Tie Clips, Tie Bars, Tie Pins"
1643,"Scarf, Hat & Glove Sets"
1646,Food & Beverage
1647,Alcoholic Beverage
1648,Beer
1649,Brandy
1650,Cocktails
1651,Fruit Wine
1652,Gin
1653,Liqueurs
1654,Other Alcoholic Beverages
1655,Rice Wine
1656,Rum
1657,Tequila
1658,Vodka
1659,Whisky
1660,Wine
1661,Baby Food
1662,Baked Goods
1663,Biscuits
1664,Bread
1665,Cakes
1666,Mooncake
1667,Other Baked Goods
1668,Pastry
1669,Pastry Mixes
1670,Pizza
1671,Bean Products
1672,Bean Sprouts
1673,Other Bean Products
1674,Soy Milk
1675,Tofu
1676,Canned Food
1677,Canned Beans
1678,Canned Crustacean
1679,Canned Fish
1680,Canned Fruit
1681,Canned Meat
1682,Canned Mushrooms & Truffles
1683,Canned Nuts & Kernals
1684,Canned Vegetables
1685,Other Canned Food
1686,Capsicum Products
1687,Canned Capsicum
1688,Dried Capsicum
1689,Frozen Capsicum
1690,Preserved Capsicum
1691,Coffee
1692,Confectionery
1693,Chocolate
1694,Chocolate Candy
1695,Gum
1696,Hard Candy
1697,Jam
1698,Jelly
1699,Lollipops
1700,Marshmallow
1701,Other Confectioneries
1702,Soft Candy
1703,Toffee
1704,Dairy Products
1705,Butter
1706,Casein
1707,Cheese
1708,Condensed Milk
1709,Cream
1710,Ice Cream
1711,Lactose
1712,Milk
1713,Milk Powder
1714,Other Dairy Products
1715,Whey Powder
1716,Yogurt
1717,Drinking Water
1718,Egg Products
1719,Food Ingredients
1720,Almond Flour
1721,Bakery Ingredients
1722,Bubble Tea Ingredients
1723,Chocolate Ingredients
1724,Cocoa Butter
1725,Cocoa Liquor
1726,Cocoa Powder
1727,Other Chocolate Ingredients
1728,Flavor Enhancers
1729,Non Dairy Creamer
1730,Nutrient Additives
1731,Starch
1732,Yeast
1733,Fruit Products
1734,Dried Fruit
1735,Frozen Fruit
1736,Preserved Fruit
1737,Grain Products
1738,Breakfast Cereal
1739,Dumpling
1740,Flour
1741,Noodles
1742,Other Grain Products
1743,Pasta
1744,Health Food
1745,Honey & Honey Products
1746,Instant Food
1747,Hot Chocolate Mix
1748,Instant Noodles
1749,Instant Powder Drinks
1750,Instant Rice
1751,Instant Soup
1752,Other Instant Food
1753,Meat & Poultry
1754,Beef Jerky
1755,Meat & Poultry Sausage
1756,Meat Products
1757,Offals
1758,Poultry
1759,Red Meat
1760,Other Food & Beverage
1761,Seafood
1762,Crustaceans
1763,Crab
1764,Lobster
1765,Shrimp
1766,Echinoderm
1767,Fish
1768,Fish Sausage
1769,Mollusks
1770,Other Seafood
1771,Roe
1772,Seafood Snacks
1773,Seaweed
1774,Shellfish
1775,Surimi
1776,Seasonings & Condiments
1777,Hot Pot Condiments
1778,Ketchup
1779,Monosodium Glutamate
1780,Other Seasonings & Condiments
1781,Puree
1782,Salt
1783,Sauce
1784,Spices & Herbs
1785,Sugar
1786,Vinegar
1787,Snacks
1788,Soft Drinks
1789,Bubble Tea Drinks
1790,Carbonated Drinks
1791,Coconut Milk
1792,Coffee Drinks
1793,Energy Drinks
1794,Fruit & Vegetable Juice
1795,Other Soft Drinks
1796,Slimming Coffee
1797,Tea Drinks
1798,Tea
1799,Black Tea
1800,Flavor Tea
1801,Green Tea
1802,Oolong Tea
1803,Other Teas
1804,PuEr Tea
1805,Rooibos Tea
1806,Slimming Tea
1807,White Tea
1808,Yellow Tea
1809,Yerba Mate Tea
1810,Vegetable Products
1811,Dried Vegetables
1812,Frozen Vegetables
1813,Preserved Vegetables
1816,Furniture
1817,Baby Furniture
1818,Baby Chairs
1819,Baby Cribs
1820,Baby Playpens
1821,Other Baby Furniture
1822,Children Furniture
1823,Children Beds
1824,Children Cabinets
1825,Children Chairs
1826,Children Furniture Sets
1827,Children Tables
1828,Other Children Furniture
1829,Commercial Furniture
1830,Bar Furniture
1831,Bar Chairs
1832,Bar Furniture Sets
1833,Bar Stools
1834,Bar Tables
1835,Other Bar Furniture
1836,Hospital Furniture
1837,Hospital Beds
1838,Hospital Cabinets
1839,Hospital Chairs
1840,Hospital Tables
1841,Hospital Trolley
1842,Other Hospital Furniture
1843,Hotel Furniture
1844,Hotel Bedroom Sets
1845,Hotel Beds
1846,Hotel Chairs
1847,Hotel Sofas
1848,Hotel Trolley
1849,Luggage Racks
1850,Other Hotel Furniture
1851,Laboratory Furniture
1852,Library Furniture
1853,Office Furniture
1854,Computer Desks
1855,Conference Chairs
1856,Conference Tables
1857,Filing Cabinets
1858,Magazine Racks
1859,Office Chairs
1860,Office Desks
1861,Office Partitions
1862,Office Sofas
1863,Other Office Furniture
1864,Reception Desks
1865,Other Commercial Furniture
1866,Restaurant Furniture
1867,Other Restaurant Furniture
1868,Restaurant Chairs
1869,Restaurant Sets
1870,Restaurant Tables
1871,Salon Furniture
1872,Barber Chairs
1873,Massage Tables & Beds
1874,Nail Tables
1875,Other Salon Furniture
1876,Salon Trolley
1877,Shampoo Chairs
1878,School Furniture
1879,Dormitory Beds
1880,Other School Furniture
1881,School Chairs
1882,School Desks
1883,School Sets
1884,Theater Furniture
1885,Waiting Chairs
1886,Furniture Accessories
1887,Furniture Hardware
1888,Door catches & Door Closers
1889,Draw Slides
1890,Furniture Bolts
1891,Furniture Casters
1892,Furniture Handles & Knobs
1893,Furniture Hinges
1894,Furniture Locks
1895,Other Furniture Hardware
1896,Furniture Parts
1897,Chair Mechanisms
1898,Furniture Frames
1899,Furniture Legs
1900,Other Furniture Parts
1901,Swivel Plates
1902,Home Furniture
1903,Bathroom Furniture
1904,Other Bathroom Furniture
1905,Bedroom Furniture
1906,Bedroom Sets
1907,Beds
1908,Dressers
1909,Mattresses
1910,Nightstands
1911,Other Bedroom Furniture
1912,Wardrobes
1913,Dining Room Furniture
1914,Dining Chairs
1915,Dining Room Sets
1916,Dining Tables
1917,Other Dining Room Furniture
1918,Sideboards
1919,Kitchen Furniture
1920,Living Room Furniture
1921,Bookcases
1922,CD Racks
1923,Chaise Lounge
1924,Coat Racks
1925,Coffee Tables
1926,Console Tables
1927,Living Room Cabinets
1928,Living Room Chairs
1929,Living Room Sets
1930,Living Room Sofas
1931,Other Living Room Furniture
1932,Shoe Racks
1933,Stools & Ottomans
1934,TV Stands
1935,Other Home Furniture
1936,Other Furniture
1937,Outdoor Furniture
1938,Beach Chairs
1939,Garden Chairs
1940,Garden Sets
1941,Garden Sofas
1942,Hammocks
1943,Other Outdoor Furniture
1944,Outdoor Tables
1945,Patio Benches
1946,Patio Swings
1947,Patio Umbrellas & Bases
1948,Sun Loungers
1951,Gifts & Crafts
1952,Arts & Crafts Stocks
1953,Candle Holders
1954,Candles
1955,Crafts
1956,Bamboo Crafts
1957,Clay Crafts
1958,Crystal Crafts
1959,Glass Crafts
1960,Lacquerware
1961,Leather Crafts
1962,Metal Crafts
1963,Natural Crafts
1964,Paper Crafts
1965,Plastic Crafts
1966,Pottery & Enamel
1967,Resin Crafts
1968,Semi-Precious Stone Crafts
1969,Stone Crafts
1970,Textile & Fabric Crafts
1971,Wicker Crafts
1972,Wood Crafts
1973,Festive & Party Supplies
1974,Christmas Decoration Supplies
1975,Decorative Flowers & Wreaths
1976,Event & Party Supplies
1977,Fireworks & Firecrackers
1978,Other Holiday Supplies
1979,Party Masks
1980,"Flags, Banners & Accessories"
1981,Frame
1982,Gift Sets
1983,Incense
1984,Incense Burners
1985,Key Chains
1986,Lanyard
1987,Money Boxes
1988,Music Boxes
1989,Other Gifts & Crafts
1990,Painting & Calligraphy
1991,Photo Albums
1992,Stickers
1995,Hardware
1996,Abrasive Tools
1997,Abrasives
1998,Brackets
1999,Chains
2000,Clamps
2001,Fasteners
2002,Anchors
2003,Bolts
2004,Nails
2005,Nuts
2006,Other Fasteners
2007,Rivets
2008,Screws
2009,Washers
2010,Hardware Stock
2011,Hooks
2012,Mould Design & Processing Services
2013,Other Hardware
2014,Springs
2015,Used Hardware
2018,Health & Medical
2019,Animal & Veterinary
2020,Veterinary Instrument
2021,Veterinary Medicine
2022,Drugs
2023,Anti-Infective Drugs
2024,Antiallergic Drugs
2025,Antineoplastic Drugs
2026,Antiparasitic Drugs
2027,Cardiovascular System Drugs
2028,Central Nervous System Drugs
2029,Dermatological Drugs
2030,Disinfection & Corrosion
2031,Endocrinium Drugs
2032,Gastrointestinal Drugs
2033,Gynecological Drugs
2034,Haematological Systemic Drugs
2035,Hepato-Biliary-Pancreatic Drugs
2036,Immunomodulator Drugs
2037,Interofective System Drugs
2038,"Mouth, Ear, Nose and Throat Drugs"
2039,Narcotic & Adjuvant Drugs
2040,Nutraceuticals
2041,Ophthalmic Remedy
2042,Orthopedics Drugs
2043,Other Drugs
2044,Respiratory System Drugs
2045,Urinary System Drugs
2046,Vitamin & Trace Elements
2047,Health Care Products
2048,Healthcare Supplement
2049,Healthcare Supplies
2050,Massager
2051,Massage Belt
2052,Medical Devices
2053,Body Fluid-Processing & Circulation D evices
2054,Clinical Analytical Instruments
2055,Dental Equipments
2056,"Ears, Eyes, Nose and Throat Surgical Instruments"
2057,Emergency & Clinics Apparatus
2058,Equipments of Traditional Chinese M edicine
2059,General Assay & Diagnostic Apparatu s
2060,Implants & Interventional Materials
2061,Medical Consumables
2062,Medical Cryogenic Equipments
2063,Medical Software
2064,Obstetrics & Gynecology Equipments
2065,Physical Therapy Equipments
2066,Radiology Equipments & Accessories
2067,Sterilization Equipments
2068,Surgical Instruments
2069,"Ultrasonic, Optical, Electronic Equipm ents"
2070,Ward Nursing Equipments
2071,Pharmacy Stocks
2072,Sliced Herbal Medicine
2075,Home & Garden
2076,Bakeware
2077,Bakeware Sets
2078,Baking & Pastry Tools
2079,Baking Dishes & Pans
2080,Cake Tools
2081,Cookie Tools
2082,Other Bakeware
2083,Pie Tools
2084,Pizza Tools
2085,Rolling Pins & Pastry Boards
2086,Barware
2087,Bar Accessories
2088,Bar Sets
2089,Bar Tools
2090,"Buckets, Coolers & Holders"
2091,Bathroom Products
2092,Basins
2093,"Bath Brushes, Sponges & Scrubbers"
2094,Bath Mats
2095,Bath Pillows
2096,Bathroom Sets
2097,Other Bath & Toilet Supplies
2098,Shower Caps
2099,Shower Curtain Poles
2100,Shower Curtains
2101,Toilet Plungers
2102,Toilet Seat Cover
2103,Tubs
2104,Cooking Tools
2105,Cheese Tools
2106,Coffee & Tea Tools
2107,Colanders & Strainers
2108,Cooking Tool Sets
2109,Dessert Tools
2110,Egg Tools
2111,Fruit & Vegetable Tools
2112,Herb & Spice Tools
2113,Ice Cream Tools
2114,Kitchen Lighters
2115,Kitchen Timers
2116,Measuring Tools
2117,Meat & Poultry Tools
2118,Mills
2119,Openers
2120,Other Cooking Tools
2121,Pasta Tools
2122,Salad Tools
2123,Seafood Tools
2124,Specialty Tools
2125,Spoon Rests & Pot Clips
2126,Sushi Tools
2127,Utensils
2128,Cookware
2129,Casseroles
2130,Cookware Parts
2131,Cookware Sets
2132,Double Boilers
2133,Dutch Ovens
2134,Other Cookware
2135,Pans
2136,Pressure Cookers
2137,Soup & Stock Pots
2138,Steamers
2139,Thermal Cooker
2140,Water Kettles
2141,Woks
2142,Garden Supplies
2143,BBQ
2144,BBQ Accessories
2145,BBQ Grills
2146,BBQ Tools
2147,Garden Buildings
2148,"Arches, Arbours, Pergolas & Bridge"
2149,Cabins & Garden Rooms
2150,"Fencing, Trellis & Gates"
2151,"Garages, Canopies & Carports"
2152,Garden Greenhouses
2153,Other Garden Buildings
2154,Playhouses
2155,Sheds & Storage
2156,Summerhouses
2157,Garden Landscaping & Decking
2158,Garden Ornaments
2159,Other Landscaping & Decking
2160,Garden Pots & Planters
2161,Basket Liners
2162,Flower Pots & Planters
2163,Grow Bags
2164,Hanging Baskets
2165,Nursery Pots
2166,Nursery Trays & Lids
2167,Pot Trays
2168,Other Garden Supplies
2169,Outdoor Heaters
2170,Chimeneas
2171,Fire Pits
2172,Patio Heaters
2173,Shade
2174,Awnings
2175,Gazebos
2176,Shade Accessories
2177,Shade Sails & Nets
2178,Watering & Irrigation
2179,Garden Hoses & Reels
2180,Garden Sprinklers
2181,Garden Water Connectors
2182,Garden Water Guns
2183,Garden Water Timers
2184,Other Watering & Irrigation
2185,Sprayers
2186,Water Cans
2187,Watering Kits
2188,Home Decor
2189,"Blinds, Shades & Shutters"
2190,Clocks
2191,Antique Style Clocks
2192,Clock Parts & Accessories
2193,Desk & Table Clocks
2194,Digital & Analog-Digital Clocks
2195,Floor Clocks
2196,Hourglasses
2197,Mechanical Clocks
2198,Other Clocks
2199,Specialty Clocks
2200,Wall Clocks
2201,Crystal Soil
2202,"Curtain Poles, Tracks & Accessories"
2203,Fridge Magnets
2204,Mirrors
2205,Other Home Decor
2206,Plaques
2207,Screens & Room Dividers
2208,Vases
2209,Bamboo & Wooden Vases
2210,Ceramic & Porcelain Vases
2211,Glass & Crystal Vases
2212,Metal Vases
2213,Other Vases
2214,Plastic Vases
2215,Resin Vases
2216,Stone Vases
2217,Home Storage & Organization
2218,Bag Clips
2219,Hooks & Rails
2220,Other Home Storage & Organization
2221,Storage Bags
2222,Storage Baskets
2223,Storage Bottles & Jars
2224,Storage Boxes & Bins
2225,Storage Drawers
2226,Storage Holders & Racks
2227,Storage Trays
2228,Household Chemicals
2229,Air Fresheners
2230,Detergent
2231,Drain Cleaners
2232,Other Household Chemicals
2233,Wax & Polishes
2234,Household Cleaning Tools & Accessorie s
2235,Brooms & Dustpans
2236,Buckets
2237,Cleaning Brushes
2238,Cleaning Cloths
2239,Dusters
2240,Household Gloves
2241,Lint Remover
2242,Lint Rollers & Brushes
2243,Mops
2244,Other Household Cleaning Tools & Ac cessories
2245,Sponges & Scouring Pads
2246,Squeegees
2247,Waste Bins
2248,Household Sundries
2249,Aprons
2250,Baby Supplies & Products
2251,Feeding Supplies
2252,Other Baby Supplies & Products
2253,"Strollers, Walkers & Carriers"
2254,Fireplace Sets & Accessories
2255,Hot Water Bottles
2256,Household Scales
2257,Household Thermometers
2258,Lighters & Smoking Accessories
2259,Ashtrays
2260,Cigar Accessories
2261,Cigar Cases/Humidors
2262,Cigarette Cases
2263,Hookahs
2264,Lighters
2265,Matches
2266,Other Lighters & Smoking Accessories
2267,Smoking Pipes
2268,Mailboxes
2269,Needlework
2270,Other Household Sundries
2271,Oven Mitts
2272,Oversleeves
2273,Pest Control
2274,Rain Gear
2275,Other Rain Gear
2276,Raincoats
2277,Umbrella Stands
2278,Umbrellas
2279,Kitchen Knives & Accessories
2280,Blocks & Roll Bags
2281,Chopping Blocks
2282,Kitchen Knives
2283,Knife Sets
2284,Other Knife Accessories
2285,Sharpeners
2286,Laundry Products
2287,Clothes Pegs
2288,Hangers & Racks
2289,Ironing Boards
2290,Laundry Bags & Baskets
2291,Laundry Balls & Discs
2292,Other Laundry Products
2293,Scrub Brushes
2294,Scrubboards
2295,Pet Products
2296,Aquariums & Accessories
2297,Other Pet Products
2298,Pet Apparel & Accessories
2299,Pet Beds & Accessories
2300,Pet Bowls & Feeders
2301,"Pet Cages, Carriers & Houses"
2302,Pet Caskets & Urns
2303,Pet Cleaning & Grooming Products
2304,Pet Collars & Leashes
2305,Pet Food
2306,Pet Health Care & Supplements
2307,Pet Toys
2308,Pet Training Products
2309,Pet Travel & Outdoors
2310,Tableware
2311,Dinnerware
2312,Bowls
2313,Dinnerware Sets
2314,Dishes & Plates
2315,Gravy Boats
2316,Other Dinnerware
2317,Sugar & Creamer Pots
2318,Tureens
2319,Drinkware
2320,Coffee & Tea Sets
2321,Cups & Saucers
2322,Glass
2323,Hip Flasks
2324,Mugs
2325,Other Drinkware
2326,Vacuum Flasks & Thermoses
2327,Water Bottles
2328,Water Pots & Kettles
2329,Flatware
2330,Chopsticks
2331,Dinner Knives
2332,Flatware Sets
2333,Forks
2334,Spoons
2335,Other Tableware
2336,Table Decoration & Accessories
2337,Mats & Pads
2338,Napkin Rings
2339,Other Table Decoration & Accessories
2340,Tissue Boxes
2341,Toothpick Holders
2342,Toothpicks
2345,Home Appliances
2346,Air Conditioning Appliances
2347,Air Conditioners
2348,Air Purifiers
2349,Dehumidifiers
2350,Fans
2351,Humidifiers
2352,Other Air Conditioning Appliances
2353,Cleaning Appliances
2354,Other Cleaning Appliances
2355,Steam Cleaners
2356,Ultrasonic Cleaners
2357,Vacuum Cleaners
2358,Hand Dryers
2359,Home Appliance Parts
2360,Air Conditioner Parts
2361,Air Purifier Parts
2362,Clothes Dryer Parts
2363,Dehumidifier Parts
2364,Electric Heater Parts
2365,Electric Iron Parts
2366,Electric Water Heater Parts
2367,Fan Parts
2368,Freezer Parts
2369,Garment Steamer Parts
2370,Gas Heater Parts
2371,Gas Water Heater Parts
2372,Hand Dryer Parts
2373,Heat Pump Water Heater Parts
2374,Humidifier Parts
2375,Ice Maker Parts
2376,Kerosene Heater Parts
2377,Kitchen Appliance Parts
2378,3 in 1 Breakfast Maker Parts
2379,Blender Parts
2380,Bread Maker Parts
2381,Chocolate Fountain Parts
2382,Coffee Grinder Parts
2383,Coffee Maker Parts
2384,Coffee Roaster Parts
2385,Cooktop Parts
2386,Crepe Maker Parts
2387,Dish Washer Parts
2388,Disinfecting Cabinet Parts
2389,Egg Boiler Parts
2390,Electric Air Pot Parts
2391,Electric Deep Fryer Parts
2392,Electric Kettle Parts
2393,Electric Pressure Cooker Parts
2394,Electric Skillet Parts
2395,Food Mixer Parts
2396,Food Processor Parts
2397,Food Steamer Parts
2398,Food Waste Disposer Parts
2399,Hot Plate Parts
2400,Ice Cream Maker Parts
2401,Induction Cooker Parts
2402,Juicer Parts
2403,Meat Grinder Parts
2404,Microwave Oven Parts
2405,Oven Parts
2406,Pancake Maker Parts
2407,Popcorn Maker Parts
2408,Range Hood Parts
2409,Range Parts
2410,Rice Cooker Parts
2411,Rotisserie Parts
2412,Sandwich Maker Parts
2413,Slow Cooker Parts
2414,Toaster Oven Parts
2415,Toaster Parts
2416,Vegetable Washer Parts
2417,Waffle Maker Parts
2418,Yogurt Maker Parts
2419,Other Home Appliance Parts
2420,Refrigerator Parts
2421,Solar Water Heater Parts
2422,Steam Cleaner Parts
2423,Steam Press Parts
2424,Ultrasonic Cleaner Parts
2425,Vacuum Cleaner Parts
2426,Washing Machine Parts
2427,Water Dispenser Parts
2428,Water Filter Parts
2429,Water Softener Parts
2430,Wet Towel Dispenser Parts
2431,Wine Refrigerator Parts
2433,Home Heaters
2434,Electric Fireplaces
2435,Electric Heaters
2436,Gas Heaters
2437,Kerosene Heaters
2438,Other Home Heaters
2439,Kitchen Appliances
2440,Blenders
2441,Coffee Grinders
2442,Coffee Makers
2443,Coffee Roasters
2444,Cooking Appliances
2445,3 in 1 Breakfast Makers
2446,Bread Makers
2447,Chocolate Fountains
2448,Cooktops
2449,Crepe Makers
2450,Egg Boilers
2451,Electric Deep Fryers
2452,Electric Food Steamers
2453,Electric Grills & Electric Griddles
2454,Electric Pressure Cookers
2455,Electric Skillets
2456,Hot Plates
2457,Induction Cookers
2458,Microwave Ovens
2459,Ovens
2460,Pancake Makers
2461,Range Hoods
2462,Ranges
2463,Rice Cookers
2464,Rotisseries
2465,Sandwich Makers
2466,Slow Cookers
2467,Toaster Ovens
2468,Toasters
2469,Waffle Makers
2470,Dish Washers
2471,Disinfecting Cabinets
2472,Electric Air Pots
2473,Electric Kettles
2474,Food Mixers
2475,Food Processors
2476,Food Waste Disposers
2477,Ice Cream Makers
2478,Ice Crushers & Shavers
2479,Juicers
2480,Meat Grinders
2481,Other Kitchen Appliances
2482,Popcorn Makers
2483,Vacuum Food Sealers
2484,Vegetable Washers
2485,Yogurt Makers
2486,Laundry Appliances
2487,Clothes Dryers
2488,Electric Irons
2489,Garment Steamers
2490,Other Laundry Appliances
2491,Steam Presses
2492,Washing Machines
2493,Other Home Appliances
2494,Refrigerators & Freezers
2495,Freezers
2496,Ice Makers
2497,Other Refrigerators & Freezers
2498,Refrigerators
2499,Wine Refrigerators
2500,Water Heaters
2501,Electric Water Heaters
2502,Gas Water Heaters
2503,Heat Pump Water Heaters
2504,Other Water Heaters
2505,Solar Water Heaters
2506,Water Treatment Appliances
2507,Other Water Treatment Appliances
2508,Water Dispensers
2509,Water Filters
2510,Water Softeners
2511,Wet Towel Dispensers
2514,Lights & Lighting
2515,Commercial Lighting Projects
